"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"c:\Coding\ratecollegeclubs\.eslintrc.cjs", "JavaScript", 23, 0, 0, 0, 0, 0, 1, 24
"c:\Coding\ratecollegeclubs\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 1, 2
"c:\Coding\ratecollegeclubs\backend\data.js", "JavaScript", 28, 0, 0, 0, 0, 135, 2, 165
"c:\Coding\ratecollegeclubs\backend\models\clubModel.js", "JavaScript", 17, 0, 0, 0, 0, 1, 3, 21
"c:\Coding\ratecollegeclubs\backend\models\interviewModel.js", "JavaScript", 15, 0, 0, 0, 0, 1, 3, 19
"c:\Coding\ratecollegeclubs\backend\models\reviewModel.js", "JavaScript", 18, 0, 0, 0, 0, 1, 3, 22
"c:\Coding\ratecollegeclubs\backend\models\schoolModel.js", "JavaScript", 15, 0, 0, 0, 0, 1, 3, 19
"c:\Coding\ratecollegeclubs\backend\routers\clubRouter.js", "JavaScript", 77, 0, 0, 0, 0, 1, 19, 97
"c:\Coding\ratecollegeclubs\backend\routers\interviewRouter.js", "JavaScript", 63, 0, 0, 0, 0, 5, 18, 86
"c:\Coding\ratecollegeclubs\backend\routers\reviewRouter.js", "JavaScript", 82, 0, 0, 0, 0, 5, 21, 108
"c:\Coding\ratecollegeclubs\backend\routers\schoolRouter.js", "JavaScript", 61, 0, 0, 0, 0, 7, 14, 82
"c:\Coding\ratecollegeclubs\backend\server.js", "JavaScript", 32, 0, 0, 0, 0, 3, 12, 47
"c:\Coding\ratecollegeclubs\frontend\package-lock.json", "JSON", 0, 16741, 0, 0, 0, 0, 1, 16742
"c:\Coding\ratecollegeclubs\frontend\package.json", "JSON", 0, 49, 0, 0, 0, 0, 1, 50
"c:\Coding\ratecollegeclubs\frontend\public\index.html", "HTML", 0, 0, 0, 20, 0, 23, 3, 46
"c:\Coding\ratecollegeclubs\frontend\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 1, 26
"c:\Coding\ratecollegeclubs\frontend\src\App.js", "JavaScript", 35, 0, 0, 0, 0, 0, 6, 41
"c:\Coding\ratecollegeclubs\frontend\src\actions\clubActions.js", "JavaScript", 89, 0, 0, 0, 0, 0, 6, 95
"c:\Coding\ratecollegeclubs\frontend\src\actions\interviewActions.js", "JavaScript", 92, 0, 0, 0, 0, 0, 6, 98
"c:\Coding\ratecollegeclubs\frontend\src\actions\reviewActions.js", "JavaScript", 92, 0, 0, 0, 0, 0, 7, 99
"c:\Coding\ratecollegeclubs\frontend\src\actions\schoolActions.js", "JavaScript", 88, 0, 0, 0, 0, 0, 6, 94
"c:\Coding\ratecollegeclubs\frontend\src\components\AdminClub.js", "JavaScript", 56, 0, 0, 0, 0, 0, 6, 62
"c:\Coding\ratecollegeclubs\frontend\src\components\AdminInterview.js", "JavaScript", 61, 0, 0, 0, 0, 0, 8, 69
"c:\Coding\ratecollegeclubs\frontend\src\components\AdminReview.js", "JavaScript", 70, 0, 0, 0, 0, 0, 7, 77
"c:\Coding\ratecollegeclubs\frontend\src\components\AdminSchool.js", "JavaScript", 44, 0, 0, 0, 0, 0, 6, 50
"c:\Coding\ratecollegeclubs\frontend\src\components\AutoCompleteText.js", "JavaScript", 102, 0, 0, 0, 0, 6, 12, 120
"c:\Coding\ratecollegeclubs\frontend\src\components\Club.js", "JavaScript", 41, 0, 0, 0, 0, 1, 8, 50
"c:\Coding\ratecollegeclubs\frontend\src\components\Difficulty.js", "JavaScript", 26, 0, 0, 0, 0, 0, 3, 29
"c:\Coding\ratecollegeclubs\frontend\src\components\Footer.js", "JavaScript", 6, 0, 0, 0, 0, 0, 2, 8
"c:\Coding\ratecollegeclubs\frontend\src\components\Header.js", "JavaScript", 46, 0, 0, 0, 0, 3, 7, 56
"c:\Coding\ratecollegeclubs\frontend\src\components\HeaderAutoCompleteText.js", "JavaScript", 102, 0, 0, 0, 0, 5, 14, 121
"c:\Coding\ratecollegeclubs\frontend\src\components\Interview.js", "JavaScript", 50, 0, 0, 0, 0, 0, 8, 58
"c:\Coding\ratecollegeclubs\frontend\src\components\LoadingBox.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Coding\ratecollegeclubs\frontend\src\components\MessageBox.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Coding\ratecollegeclubs\frontend\src\components\Pagination.js", "JavaScript", 210, 0, 0, 0, 0, 1, 28, 239
"c:\Coding\ratecollegeclubs\frontend\src\components\Rating.js", "JavaScript", 16, 0, 0, 0, 0, 0, 3, 19
"c:\Coding\ratecollegeclubs\frontend\src\components\Review.js", "JavaScript", 111, 0, 0, 0, 0, 1, 15, 127
